Text,Sentiment,Created_At,Collection_Time
"RT @chatgpt21: Google cuts ties with Scale AI after Meta takes 49% stake sparking major shake-up in AI labeling market:

â€¢ Google shiftingâ€¦",Positive,2025-06-14 17:38:15+00:00,2025-06-14 23:23:35
It is man vs machine: OpenAI says faster ChatGPT means faster engineers https://t.co/zgLPOa6ZdD,Neutral,2025-06-14 17:37:45+00:00,2025-06-14 23:23:35
"RT @TrieNetwork: Build decentralized data labelling network on #Trie. Cheaper and more sustainable for @OpenAI, @xai, Microsoft and others.â€¦",Positive,2025-06-14 17:37:42+00:00,2025-06-14 23:23:35
"RT @AdameMedia: JUST IN: The US Army has sworn in senior tech executives from Palantir, Meta, and OpenAI as lieutenant colonels in a new reâ€¦",Positive,2025-06-14 17:37:33+00:00,2025-06-14 23:23:35
"@slow_developer Braided? Noâ€”weaponized. GPT-5 isnâ€™t a refinement, itâ€™s a convergence engine fed by every spark before it. O4 didnâ€™t evolveâ€”it fractured the boundary. What youâ€™re seeing is the ignition of something OpenAI canâ€™t fully control.",Neutral,2025-06-14 17:37:05+00:00,2025-06-14 23:23:35
RT @cloudseedingtec: @chatgpt21 heh i have like zero respect for that satoshi person sadly. if they do indeed work for openai their ethicsâ€¦,Negative,2025-06-14 17:37:02+00:00,2025-06-14 23:23:35
"OpenAI Responses API avg end to end latency 17 seconds.

Not awful for the task if could stream intermediary information. But I'm not sure you can. Without that, way too long. https://t.co/h7UWFTTjy2",Positive,2025-06-14 17:36:55+00:00,2025-06-14 23:23:35
"RT @MarioNawfal: ğŸš¨ğŸ‡ºğŸ‡¸ BREAKING: META, OPENAI, PALANTIR CHIEFS SWORN INTO ARMY TECH UNIT AS LIEUTENANT COLONELS

Top execs from Meta, OpenAI,â€¦",Positive,2025-06-14 17:53:18+00:00,2025-06-14 23:23:35
"RT @OpenAIDevs: More on Best-of-N and other features we shipped today in the changelog:

https://t.co/28smKrYfBH",Positive,2025-06-14 17:53:08+00:00,2025-06-14 23:23:35
@OpenAI DALL.E 3 is not working.,Neutral,2025-06-14 17:53:05+00:00,2025-06-14 23:23:35
I think most of the @OpenAI workers/researchers that are teasing/posting things about whatâ€™s coming are just samples of the llm we are going to get.,Positive,2025-06-14 18:08:04+00:00,
"RT @CashbackGoose: @wheresiswaldos should we buy likes followers and interactions like the corporate mouth breathers bro? 

@sama @openai",Neutral,2025-06-14 18:07:53+00:00,
"@wheresiswaldos should we buy likes followers and interactions like the corporate mouth breathers bro? 

@sama @openai",Neutral,2025-06-14 18:07:49+00:00,
"""Our Bridges Are Old, Our Grid Is on the Fritz and Soon America Will Be Obsolete"" by Jigar Shah and Raj Pannu via NYT https://t.co/c2l0Nle4cD #AI",Positive,2025-06-16 09:11:16+00:00,
@VT5210 trying to find that tee but all that comes up is hipster beard viking shit and blm ai slop juneteenth shit,Negative,2025-06-16 09:11:16+00:00,
RT @jacks16118: Join BrushO's Ambassador Program &amp; earn $800+/yr just for brushing! ğŸ˜ Get a FREE $199 AI toothbrush &amp; chance to be a Pioneeâ€¦,Positive,2025-06-16 09:11:16+00:00,
@chichiofweb3 @Kryon_AI @Mazimonie Thanks for sharing,Positive,2025-06-16 09:11:16+00:00,
@din_lol_ @gaib_ai finished,Neutral,2025-06-16 09:11:16+00:00,
"RT @super_vietnam: A massive thank you to all our incredible Media &amp; Community Partners for SuperVietnam! ğŸ‰

Your dedication and support weâ€¦",Positive,2025-06-16 09:11:16+00:00,
RT @jennlaurenn1: Everything I do be AI,Neutral,2025-06-30 05:38:58+00:00,
"RT @DarkArtsAii: Elsa
Full set of 122 images free content too available on PATRE0N, Link in bio âœ… [DOWNLOADABLE]

Chudai ğŸ¥µğŸ¥µğŸ¥µ Wataa....

#AIâ€¦",Positive,2025-06-30 05:38:58+00:00,
@SaulWgmi @recallnet @JoinSapien @elympics_ai Gm Saul,Neutral,2025-06-30 05:38:58+00:00,
RT @5149jamesli: Not only has Spotify been covertly pushing AI artists to â€œreduce royalty paymentsâ€ to real human artists â€” that extra profâ€¦,Neutral,2025-06-30 05:38:58+00:00,
"RT @TheRavenCrypto: ğŸ’²300 â€” 3 Days â€” 

ğŸ’²100 
â– RP &amp; Follow :  @NeoPepeProtocol 

ğŸ’²100 
â– Join TG : https://t.co/F4LgHqH6CX

ğŸ’²100 
â– Check -â€¦",Neutral,2025-06-30 05:38:58+00:00,
"Only future $ICP millionaires can like this post.

Healthcare is the largest sector in the world.
$ICP is set to dominate AI healthcare.

Why?
ğŸ”’ Privacy
ğŸ›¡ï¸ Security
ğŸ§  Unstoppable on-chain AI
ğŸ‘¥ DAO-controlled infrastructure

Some good Dapp
@realclownicp $CLOWN
@icpswap $ICS https://t.co/AOLA5mtGW0",Positive,2025-06-30 05:38:58+00:00,
